gene,p-value,parental difference (B6-DBA)
Tpm3,0.45736297,-0.145
Nup210l,0.76821937,-0.05
Affy_10493658,0.57885411,0.115
Nup210l,0.43175938,-0.174
Nup210l,0.2305299,-0.326
Nup210l,0.89451197,0.028
Nup210l,0.5028825,-0.16
Nup210l,0.016884321,-0.462
Nup210l,0.79720699,-0.045
Nup210l,0.13193017,-0.303
Nup210l,0.74499176,-0.072
Rab13,0.31840871,-0.18
Jtb,0.20754262,-0.228
Slc39a1,0.50022112,-0.126
Crtc2,0.67316184,-0.084
Dennd4b,0.54913272,0.118
Gatad2b,0.51001037,-0.106
Ilf2,0.75218129,0.057
S100a13,0.047033197,0.283
S100a14,0.55524877,0.162
S100a16,0.30705135,0.171
S100a3,0.70557146,-0.072
S100a2,0.66184223,-0.089
S100a4,0.8298812,0.057
S100a5,0.86256673,-0.034
S100a6,0.87005151,0.04
S100a7a,0.44801714,-0.168
S100a8,0.13928086,0.451
Pglyrp4,0.54151765,-0.122
Pglyrp3,0.062002708,-0.301
Sprr2a1,0.50824939,0.112
Sprr2a1,0.49318581,-0.198
Sprr2a1,0.49318581,-0.198
Sprr2b,0.66445473,0.096
Sprr2d,0.80987262,-0.053
Sprr2e,0.56333035,-0.191
Sprr2f,0.49454824,-0.129
Sprr2g,0.44766412,-0.112
Sprr2h,0.77507808,0.053
Sprr2i,0.93314286,-0.015
Sprr2j-ps,0.64250411,-0.08
Sprr2k,0.23106934,-0.259
Lce1c,0.31106234,-0.42
Ywhaz,0.60240506,-0.086
Affy_10493894,0.66168772,-0.123
Lce3b,0.20166869,-0.364
Lce3c,0.9822271,0.006
Lce3c,0.24015707,-0.288
Affy_10493905,0.88004274,0.043
Lce3f,0.21115551,-0.374
Gm4858,0.90004289,-0.042
Crnn,0.75353563,0.081
Flg2,0.84379826,-0.045
Flg2,0.61530544,0.117
Hrnr,0.6251228,-0.131
Rptn,0.78151079,0.05
Tchh,0.094438061,-0.444
Tchhl1,0.16487563,-0.313
S100a11,0.18707014,1.072
S100a10,0.20326551,0.469
Tdpoz2,0.67737913,-0.08
Tdpoz4,0.96631869,-0.01
Tdpoz3,0.37585578,-0.204
Gm10696,0.42538741,-0.172
Them4,0.60372154,0.156
Them5,0.55402575,-0.16
Rorc,0.91991282,-0.025
Lingo4,0.12713875,-0.327
Tdrkh,0.64691405,-0.095
Mrpl9,0.94232608,-0.014
Celf3,0.84322918,-0.052
Selenbp2,0.10157092,-1.833
Pogz,0.33694471,0.176
Selenbp1,0.069416955,-1.189
Rfx5,0.041971177,0.44
Pi4kb,0.43173127,0.102
Affy_10494151,0.086987907,-0.277
Vps72,0.89186164,0.023
Tmod4,0.28796891,-0.703
Lysmd1,0.15095319,0.236
Sema6c,0.98758142,0.003
Cdc42se1,0.35962699,0.133
Fam63a,0.15909718,0.222
Lass2,0.94735079,0.011
Arnt,0.24546083,0.166
Ctsk,0.38549964,-0.216
Ctss,0.51794768,0.437
Hormad1,0.9403093,-0.017
Golph3l,0.4130032,0.204
Rps10,0.91409983,-0.014
Ensa,0.51977029,0.109
Mcl1,0.79864121,-0.047
Aph1a,0.87249841,-0.033
Anp32e,0.27794472,0.239
Affy_10494332,0.8214945,0.066
Otud7b,0.31176379,0.156
Mtmr11,0.71511705,0.201
Sf3b4,0.39251611,0.244
Sv2a,0.47892976,0.143
Hist1h2an,0.18127932,0.24
Hist2h2be,0.38626662,-0.174
Hist2h2aa1,0.17684934,0.235
Hist2h2aa1,0.050146318,0.392
Hist2h3c1,0.044270587,0.729
Hist2h3b,0.034081788,0.77
Hist2h2bb,0.058544708,0.388
Rnu1b1,0.95200004,0.019
Rnu1b1,0.70853182,0.142
Affy_10494415,0.15016628,-0.414
Rnu1b1,0.95200004,0.019
Gm10685,0.50658039,-0.132
Rnu1b1,0.70853182,0.142
Hfe2,0.026027405,0.403
Txnip,0.86710442,0.056
Ankrd34a,0.5684985,-0.144
Lix1l,0.1497541,-0.32
Rbm8a,0.41058419,0.153
Pex11b,0.84905741,-0.032
Itga10,0.52423173,-0.135
Ankrd35,0.020272721,-0.619
Pias3,0.36389037,0.163
Rnf115,0.77783506,-0.033
Pdzk1,1,0
Gja5,0.87771849,-0.034
Acp6,0.47687303,-0.119
Fmo5,0.89333764,-0.034
Prkab2,0.92856412,0.016
Sec22b,0.98653289,-0.003
Gm5544,0.56784046,0.107
Notch2,0.88541642,-0.025
Adam30,0.42691179,0.145
Reg4,0.35719901,-0.191
Hmgcs2,0.098350973,-0.215
Zfp697,0.30525815,-0.192
Ywhah,0.94677611,-0.018
Wars2,0.67611526,-0.078
Tbx15,0.98547691,-0.003
Spag17-ps,0.098853269,-0.248
Gdap2,0.18665771,-0.295
Affy_10494751,0.49754464,-0.089
Affy_10494753,0.19454663,0.374
Gm12474,0.31309272,-0.225
Vtcn1,0.95100576,-0.028
Trim45,0.20936455,-0.294
Igsf3,0.56240486,-0.14
Nhlh2,1,0
Casq2,0.87059841,-0.03
Ngf,0.53288143,0.151
Tspan2,0.79490673,-0.041
Sike1,0.92377398,-0.023
Csde1,0.77778908,0.032
Nras,0.38482064,0.153
Ampd1,0.39837347,-0.142
Dennd2c,0.20602033,0.217
Bcas2,0.96212754,0.009
Trim33,0.98419955,0.004
Syt6,0.36052818,-0.208
Ap4b1,0.8505896,-0.029
Bcl2l15,0.72822647,-0.05
Ptpn22,0.84739597,0.07
Rsbn1,0.48251943,0.135
Phtf1,0.15116314,0.146
Slc16a1,0.64266927,0.123
Ppm1j,0.54732782,-0.101
Rhoc,0.87933361,0.056
St7l,0.53306453,-0.096
4930564D02Rik,0.47171039,0.142
Kcnd3,0.5299179,-0.118
6530418L21Rik,0.48598233,-0.161
Adora3,0.64966231,-0.08
Adora3,0.71939851,-0.059
Wdr77,0.3443992,0.18
Ovgp1,0.41887053,-0.182
Gm4248,0.74111506,0.096
Chia,0.17488019,-0.231
Dennd2d,0.12122577,0.406
Dram2,0.65131549,0.08
C1orf103,0.57049771,0.091
Kcna3,0.56530324,-0.125
AI504432,0.32958669,-0.289
A930002I21Rik,0.59791546,-0.086
Kcna2,0.54459136,0.156
Gm10672,0.42313864,0.2
Kcna10,0.087022914,-0.388
Hbxip,0.86582715,-0.022
Slc16a4,0.19151637,0.18
Alx3,0.36197729,-0.246
Eps8l3,0.49238069,-0.159
Gstm5,0.88161711,0.051
Romo1,0.70876599,-0.072
Affy_10495255,0.065728019,-0.486
Ampd2,0.70719523,-0.076
Gnat2,0.83062584,0.041
Amigo1,0.68412482,-0.084
Psma5,0.50259147,0.1
Sort1,0.097164364,-0.772
Mybphl,0.20727951,-0.308
Psrc1,0.38854422,0.132
Affy_10495330,0.25339659,-0.195
1700013F07Rik,0.14500819,-0.262
Taf13,0.50677732,-0.191
Wdr47,0.48978603,0.198
Clcc1,0.62915227,-0.094
Aknad1,0.72186533,-0.078
4921515J06Rik,0.78617358,-0.05
4930443G12Rik,0.634963,-0.078
Slc25a24,0.40952995,0.246
Vav3,0.64818593,0.067
Affy_10495447,0.82854444,0.032
Col11a1,0.23358742,-0.226
Olfm3,0.4264502,-0.406
Gm9889,0.62436079,-0.115
Dph5,0.9693087,0.006
Extl2,0.10528237,0.353
Dbt,0.56222177,-0.13
Lrrc39,0.62576114,0.215
Sass6,0.48547183,0.274
Affy_10495592,0.26720139,-0.271
Affy_10495594,0.89234595,0.02
Frrs1,0.1532567,-0.391
Lppr5,0.38075551,0.282
mir-137,0.65685157,0.072
Gm9916,0.34151804,-0.279
Dpyd,0.53069591,0.111
Gm10652,0.37860655,0.205
Alg14,0.3695815,0.263
Alg14,0.87304555,0.03
Cnn3,0.59792128,-0.089
4930432M17Rik,0.19096759,-0.198
F3,0.18059612,-0.454
Arhgap29,0.10228238,0.526
Abca4,0.19771341,-0.223
Gclm,0.3377041,0.34
Dnttip2,0.2403449,0.165
Bcar3,0.8695684,0.023
Pde5a,0.37936205,0.178
Fabp2,0.93624996,0.034
C4orf3,0.3535818,-0.606
Sec24d,0.26517317,0.283
Prss12,0.68172087,-0.095
Gm9372,0.63657394,-0.091
Tram1l1,0.77930936,0.042
Ptma,0.92580053,0.015
Affy_10495876,0.29297032,0.194
Ndst4,0.2578983,-0.233
Arsj,0.041956161,-0.317
Camk2d,0.12344752,0.416
mir-302b,0.64326346,0.073
mir-302c,0.77530657,-0.068
mir-302a,0.46385952,0.091
Mir302d,0.96150496,-0.01
mir-367,0.31050113,0.156
4930422G04Rik,0.75879423,-0.07
4930422G04Rik,0.86129231,-0.038
4930422G04Rik,0.7885019,0.038
Neurog2,0.46135225,-0.15
Tifa,0.61246313,0.185
Gm10650,0.57638952,-0.123
Affy_10495974,0.76854739,0.057
Pitx2,0.02619791,-0.331
Gm5712,0.89202483,-0.033
Rpl7a,0.64382846,0.059
Affy_10495991,0.1282455,0.248
Elovl6,0.23157168,0.868
Cfi,0.23645566,-0.244
Pla2g12a,0.096362604,-0.53
Casp6,0.33701135,-0.311
Rpl12,0.63485964,-0.08
Col25a1,0.39388308,-0.212
Agxt2l1,0.73106245,0.193
Lef1,0.39464224,-0.172
Papss1,0.32649394,0.258
Dkk2,0.31807191,-0.208
Tbck,0.26735012,0.172
Ints12,0.50664308,0.131
LOC280487,0.17746195,2.12
Ppa2,0.24581938,0.232
Cxxc4,0.49637056,-0.112
Tacr3,0.56282299,0.122
Affy_10496200,0.11334405,-0.394
Affy_10496202,0.51536426,-0.084
Cenpe,0.88143183,-0.02
Bdh2,0.77619964,0.12
Nhedc2,0.98269326,0.006
Nhedc1,0.60746346,-0.08
Ube2d3,0.23814501,-0.152
Manba,0.22152138,0.294
Gm9799,0.79963706,0.052
Slc39a8,0.65736217,-0.086
LOC280487,0.17746195,2.12
Ppp3ca,0.82855226,-0.028
Affy_10496357,0.54428041,-0.173
Emcn,0.16271797,0.407
Ddit4l,0.30808595,-0.302
H2afz,0.11777136,0.316
Dnajb14,0.60437898,0.082
Mapksp1,0.613845,-0.064
Gm5105,0.76928809,0.052
Rg9mtd2,0.39310128,-0.266
Adh7,0.6967864,0.081
Adh1,0.84496097,-0.028
Adh6a,0.80742095,-0.044
Affy_10496455,0.74790922,-0.067
Adh6b,0.074592223,-0.521
Adh6-ps1,0.20407086,3.275
Adh4,0.55202392,-0.233
Adh5,0.43522655,0.112
Eif4e,0.87299514,0.043
Eif4e,0.074466794,-0.444
Affy_10496492,0.68966807,-0.111
Tspan5,0.043929864,-0.492
B930007M17Rik,0.88672996,-0.021
Unc5c,0.14752333,-0.333
Gbp5,0.25718762,0.41
Gbp1,0.42507509,0.441
Gbp7,0.85374475,0.1
Gbp3,0.291426,0.665
Gbp2,0.48616868,0.491
Ccbl2,0.61279163,-0.179
Gtf2b,0.67672679,-0.139
Gapdh,0.66256339,-0.062
15-Sep,0.45761432,-0.104
Odf2l,0.038847125,0.527
Col24a1,0.52160107,-0.124
Znhit6,0.1735062,-0.264
Ddah1,0.53319412,0.258
Rpl36a,0.65625929,0.131
Bcl10,0.98875646,0.004
2410004B18Rik,0.85289345,-0.035
Syde2,0.9217729,-0.024
Mcoln3,0.2366165,0.206
Mcoln2,0.47418819,-0.132
Lpar3,0.63356325,-0.066
Ssx2ip,0.66840118,0.073
Ctbs,0.93293238,0.018
Gng5,0.31779725,0.268
Uox,0.65343535,0.056
Hmgb1,0.82348826,0.029
Ttll7,0.3740754,-0.173
Ttll7,0.63998574,0.096
Affy_10496862,0.15389833,-0.338
Gm5149,0.89031889,-0.025
Eltd1,0.065407844,0.444
Affy_10496888,0.3528301,-0.263
Gipc2,0.83299758,-0.064
Fubp1,0.94274008,0.012
Affy_10496917,0.98921354,-0.015
Usp33,0.98500813,-0.002
Zzz3,0.41304415,-0.123
Pigk,0.63931961,-0.082
Asb17,0.91742864,-0.018
Slc44a5,0.58042997,0.114
Cryz,0.55018664,-0.149
C1orf173,0.76856138,0.063
Affy_10497031,0.75374946,0.061
Lrriq3,0.96106261,0.013
Affy_10497045,0.46836409,-0.13
Affy_10497048,0.68760907,0.086
Negr1,0.045741127,-0.334
Affy_10497064,0.81104579,-0.056
Zranb2,0.61034403,0.128
mir-186,0.17582526,0.404
Ptger3,0.72780101,-0.049
1810013D15Rik,0.71153655,-0.107
Ankrd13c,0.63648848,-0.078
Lrrc40,0.31088425,0.192
Depdc1a,0.26166173,0.193
Rpe65,0.95702619,0.011
Wls,0.60561893,0.11
Affy_10497165,0.36789405,-0.193
Affy_10497167,0.7535325,-0.054
Gm6140,0.35733134,-0.213
Pxmp3,0.099843086,0.318
1700008P02Rik,0.12478815,0.304
Affy_10497186,0.81027247,-0.04
Il7,0.82894879,0.04
5330432E05Rik,0.61173847,-0.133
Tmem189,0.98038614,-0.007
Affy_10497201,0.48593241,-0.167
Hey1,0.83330376,0.049
Mrps28,0.53173691,0.138
Tpd52,0.30864713,0.256
Zfp704,0.5030041,0.121
Pag1,0.15537424,-0.202
Affy_10497248,0.87605602,-0.028
Pag1,0.29204915,-0.265
Pmp2,0.73873381,0.071
Fabp9,0.84678881,-0.034
Fabp4,0.75517975,0.136
Fabp12,0.27155331,-0.251
Impa1,0.08169936,0.491
Slc10a5,0.066948281,1.017
Zfand1,0.25727796,-0.301
Snx16,0.8185301,0.047
Affy_10497319,0.64959372,0.142
Pgam1,0.98744553,0.003
A_55_P1975330,0.36871782,-0.165
Hmgb1,0.69250555,0.062
Hmgcs2,0.17746195,2.12
Affy_10497329,0.77253305,0.081
C8orf59,0.11153551,-0.404
Car1,0.13195697,-0.713
Gm16399,0.49547597,0.082
Gm9733,0.25446888,-0.26
Sirpb1a,0.53856219,0.237
Sirpb1a,0.55097295,0.254
Sirpb1a,0.6455607,0.225
Sirpb1a,0.69566523,0.143
Gm5150,0.9225198,0.066
Affy_10497376,0.74539459,-0.062
Gm10742,0.37751363,-0.17
Cyp7b1,0.2682851,-1.064
Armc1,0.27180583,-0.162
Pde7a,0.94886112,-0.015
Crh,0.29941223,0.156
Hps3,0.46948959,0.16
Gyg,0.7629676,0.092
Cpa3,0.93650669,0.018
Cpb1,0.040643997,-1.036
Agtr1b,0.68753726,0.086
2810416G20Rik,0.86881108,0.068
Hmgb1,0.47347738,0.133
Affy_10497485,0.68696976,0.141
Affy_10497487,0.9228144,0.037
Naaladl2,0.92897697,-0.032
Naaladl2,0.26424755,0.47
Kpna2,0.72327091,0.074
Nlgn1,1,0
Ect2,0.1265407,0.425
Fndc3b,0.63934568,0.155
Affy_10497580,0.53714134,0.101
Tmem212,0.14863139,-0.211
Yae1d1,0.8321913,-0.036
Mecom,0.41299399,0.177
Mecom,0.63701643,-0.106
Gm10258,0.66578581,0.074
1600017P15Rik,0.51092476,-0.136
Arpm1,0.36744219,-0.221
Lrrc34,0.96146366,-0.006
Affy_10497636,0.081394945,-0.389
Sec62,0.42814732,-0.222
Phc3,0.84894873,0.055
Phc3,0.44201983,-0.122
Slc7a14,0.6375696,-0.114
Zmat3,0.58152982,0.146
Kcnmb3,0.25010173,-0.264
Gnb4,0.48314404,0.141
Mrpl47,0.6796942,0.084
Ndufb5,0.67750529,0.09
Pex5l,0.31288041,-0.219
Ccdc39,0.32135787,0.134
Carhsp1,0.98554585,-0.004
Dnajc19,0.52186837,-0.092
Gm6639,0.4801798,0.09
Dcun1d1,0.66677125,-0.091
Mccc1,0.79723716,0.054
Ccdc144b,0.83501575,-0.041
Qrfpr,0.52753953,-0.103
Anxa5,0.49411244,0.451
Ccna2,0.78332066,0.106
Bbs7,0.57083581,0.142
Trpc3,0.6910246,0.076
Il2,0.40813642,-0.162
Il21,0.96158594,0.008
Cetn4,0.092485505,-0.403
Gm12541,0.7747254,0.059
Nudt6,0.761075,0.074
Gm5148,0.6492427,0.095
Gm9104,0.7980317,-0.03
Ankrd50,0.2582169,0.158
Affy_10497929,0.31501246,-0.262
Cflar,0.48055921,0.14
Affy_10497935,0.43523141,-0.206
1700017G19Rik,0.57678287,-0.103
Mfsd8,0.78643694,0.054
1700034I23Rik,0.57114506,0.146
1700034I23Rik,0.52659135,-0.139
Pgrmc2,0.31141506,0.22
Gm16508,0.36218522,-0.214
Sclt1,0.24130755,0.272
Pabpc4l,0.97016643,0.009
Ikzf5,0.41206511,-0.144
Affy_10497998,0.31244903,0.401
Gm10730,0.90788197,-0.016
1700018B24Rik,0.86867115,0.03
Affy_10498005,0.16528259,-0.19
Affy_10498011,0.60928664,-0.112
Pcdh18,0.15638444,0.368
Slc7a11,0.43317035,-0.145
Elf2,0.64719852,-0.068
Mgarp,0.31729012,-0.185
Ndufc1,0.95365247,-0.013
Setd7,0.93095251,-0.025
Maml3,0.43280496,-0.203
Affy_10498093,0.647629,-0.073
Cog6,0.44304333,0.111
Rpl29,0.34172719,-0.226
Frem2,0.493195,-0.144
Nhlrc3,0.62570749,-0.107
Rps14,0.20095037,-0.203
Gm10726,0.990436,0.002
Ufm1,0.65870885,-0.07
Gm10255,0.36642554,0.139
Exosc8,0.067513777,0.479
Rfxap,0.22611795,0.164
Tra2b,0.790396,0.035
C13orf36,0.71566741,-0.078
Ccna1,0.60857601,0.084
Gm9831,0.24514438,-0.296
Nbea,0.54072002,-0.121
F830104G03Rik,0.35988782,-0.156
Tm4sf1,0.21446243,0.792
Wwtr1,0.99658503,-0.001
Commd2,0.23845624,0.247
Gm410,0.4796457,0.143
Gm6394,0.69833498,0.133
Pfn2,0.17319959,-0.934
Pgk1,0.59690214,0.072
Serp1,0.49595778,-0.173
Fam194a,0.27449757,-0.171
Siah2,0.80273376,-0.04
Clrn1,0.18349765,-0.221
Affy_10498343,0.99360474,-0.002
Gpr171,0.45250306,0.16
P2ry14,0.76001911,-0.091
F630111L10Rik,0.81685391,-0.045
Gpr87,0.61522986,-0.086
P2ry13,0.53767171,0.284
P2ry12,0.8844095,0.049
Igsf10,0.75327578,-0.096
Igsf10,0.79341782,-0.068
Igsf10,0.79327924,-0.057
Gm4856,0.18315784,0.198
LOC639581,0.46825383,0.146
Affy_10498401,0.1214146,0.245
Affy_10498403,0.63840588,-0.128
Gm12070,0.86003205,-0.026
Affy_10498407,0.68314368,-0.083
Affy_10498413,0.75323741,0.07
Dhx36,1,0
Gpr149,0.99029175,-0.002
Gpr149,0.12365117,0.355
Plch1,0.5664208,0.091
E130311K13Rik,0.67557772,0.115
Slc33a1,0.98340832,-0.006
LOC100047913,0.40591013,-0.157
Vmn2r1,0.81744648,0.05
Affy_10498503,0.64387196,0.13
Vmn2r-ps11,0.88033588,-0.028
Vmn2r-ps11,0.7333344,-0.072
Ssr3,0.84154836,0.054
4931440P22Rik,0.89525408,-0.032
Affy_10498529,0.97979307,-0.005
Ccnl1,0.84284084,-0.04
Veph1,0.034214281,-0.288
Affy_10498566,0.44489785,-0.111
Shox2,0.12849526,-0.269
Lxn,0.033496117,0.398
Rarres1,0.13074377,-0.994
Rarres1,0.49568739,0.182
Gm412,0.41489847,-0.21
Snrpd2,0.9520274,-0.012
1110032F04Rik,0.12072469,-0.383
Ift80,0.02957658,0.469
Trim59,0.72505117,-0.061
Kpna4,0.67025179,0.104
Gm8565,0.53406707,-0.18
B3galnt1,0.15036388,-0.48
Rpl32-ps,0.90340149,-0.035
1110032A04Rik,0.86474108,-0.041
Affy_10498657,0.81732591,0.029
Sis,0.13081505,-0.178
Slitrk3,0.36735495,-0.184
Bche,0.21586426,0.375
Affy_10498716,1,0
Zbbx,0.29709797,-0.182
Serpini2,0.2488713,-0.177
Wdr49,0.79052535,-0.044
Wdr49,0.1019979,-0.281
Pdcd10,0.73674661,0.138
Golim4,0.27358692,0.25
Zfp114,0.47577504,0.111
Gm5277,0.53534121,0.142
Ube2d2,0.92773385,-0.015
Rapgef2,0.93599435,0.015
Fnip2,0.42121586,-0.146
Etfdh,0.70611379,-0.074
Rxfp1,0.43298976,-0.118
Tmem144,0.73092974,0.076
Gria2,0.51377603,0.103
Glrb,0.99496902,0.001
Gm9989,0.90289629,0.021
Tdo2,0.35291755,-0.136
Gucy1b3,0.89813345,0.026
Gucy1a3,0.87410945,0.041
Npy2r,0.88756767,-0.028
Rbm46,0.45806539,0.183
Lrat,0.065873695,0.608
Fgb,0.13114785,-0.162
Gm10710,0.97738642,0.004
Tlr2,0.63238773,0.226
D930015E06Rik,0.50009028,0.145
Mnd1,0.5500758,0.145
Trim2,0.056693366,0.642
Fhdc1,0.15012396,-0.259
Arfip1,0.57220867,0.155
Affy_10499089,0.52224858,-0.135
Dear1,0.62122523,0.101
Affy_10499093,0.10791178,0.24
Fam160a1,0.77448587,-0.055
Glt28d2,0.48116859,0.194
Prss48,0.42930674,0.154
Rps3a,0.4427372,0.108
Rnu73a,0.94279115,0.014
Rnu73b,0.71815534,0.256
Mab21l2,0.95133775,-0.015
Dclk2,0.39241958,0.159
Cd1d1,0.074488445,0.38
Affy_10499164,0.52559146,-0.128
Kirrel,0.14184222,0.3
Ube2l3,0.60311513,0.073
Fcrls,0.76350868,0.24
Rpl30,0.46045372,-0.15
4933430H15Rik,0.84991812,-0.036
Pear1,0.85926955,-0.029
Ntrk1,0.725182,-0.078
Prcc,0.33347138,0.186
BC023814,0.83355926,-0.023
Bcan,0.93179751,0.02
Hapln2,0.083394188,-0.399
Apoa1bp,0.6979663,-0.074
Ttc24,0.5067009,-0.133
Rhbg,0.049996347,-1.056
1700021C14Rik,0.69837315,-0.053
Tmem79,0.89316151,-0.03
Bglap-rs1,0.72676705,-0.144
Bglap2,0.45,-0.152
Bglap,0.43980145,-0.171
Pmf1,0.11042415,0.298
Slc25a44,0.78594345,-0.059
Sema4a,0.8788194,0.031
Lmna,0.42181222,0.125
Rab25,0.037935608,-0.432
Robld3,0.38433405,0.131
C14orf166,0.30196923,0.206
Rxfp4,0.84288312,-0.038
Gm10253,0.14236743,-0.3
Syt11,0.13096651,0.416
Msto1,0.69798468,-0.054
Dap3,0.73559479,0.083
Rusc1,0.7117563,-0.065
Fdps,0.89579651,-0.097
mir-720,0.53853007,-0.142
Hcn3,0.74637722,0.075
Mtx1,0.56865399,-0.085
mir-92b,0.18886891,-0.34
Trim46,0.45588162,-0.176
Rag1ap1,0.31047769,-0.261
Efna1,0.38028312,0.291
Efna3,0.54869522,-0.12
Efna4,0.89217606,-0.03
Adam15,0.84585619,-0.046
Dcst1,0.66211877,-0.09
Zbtb7b,0.25903341,0.154
Flad1,0.57586607,0.082
Cks1b,0.82955647,-0.069
Chrnb2,0.19925927,-0.308
4632404H12Rik,0.79109059,-0.036
Il6ra,0.2661572,-0.496
Atp8b2,0.46948968,0.148
Affy_10499696,0.19906728,-0.29
Affy_10499703,0.20765763,-0.253
Hax1,0.65292884,0.102
Ubap2l,0.7339786,-0.034
Rps27,0.70414333,-0.106
Creb3l4,0.50051584,-0.123
Slc27a3,0.17748088,-0.303
Ints3,0.94720438,0.01
Npr1,0.2158136,0.226
Snapin,0.94884426,0.014
Chtop,0.73600528,0.072
S100a1,0.094161503,0.424
Affy_10499859,0.76776858,-0.05
S100a9,0.29603679,0.307
Gm7165,0.77726931,0.042
Affy_10499867,0.24615673,-0.194
Lor,0.58271327,0.124
Prr9,0.30389513,-0.197
Lelp1,0.7128444,-0.1
Rpl3,0.48146294,0.208
Rpl3,0.48146294,0.208
Adrm1,0.88272148,-0.022
Sprr1b,0.52673287,-0.17
Sprr3,0.043500727,-0.408
Sprr1a,0.94833704,-0.032
Sprr4,0.15156057,-0.377
Ivl,0.29913624,-0.238
Smcp,0.42974847,-0.148
Lce6a,0.75619872,-0.068
Lce1a1,0.84239707,-0.04
Lce1b,0.1992554,-0.332
Lce1a2,0.43750824,0.189
Lce1d,0.8782535,0.026
Lce1e,0.098148259,-0.383
Lce1f,0.10917793,-0.39
Lce1g,0.40891357,-0.136
Lce1h,0.16178778,-0.353
Lce1i,0.95481939,0.017
Affy_10499937,0.61933667,-0.114
Lce1k,0.15863251,-0.359
Kprp,0.26645185,-0.254
Lce1l,0.2828324,-0.182
Lce3a,0.16396664,-0.392
Affy_10499950,0.67242741,0.088
Crct1,0.55722137,-0.126
Lce1m,0.43247835,-0.146
Gm5278,0.96847116,-0.009
Tdpoz2,0.74169082,0.086
Tdpoz1,0.26553157,0.288
Gm2889,0.50231219,-0.153
Gm10696,0.42538741,-0.172
Tdpoz1,0.59607888,-0.097
Tdpoz5,0.71853999,-0.071
Tdpoz1,0.59607888,-0.097
Tdpoz5,0.71853999,-0.071
Gm10696,0.42538741,-0.172
Oaz3,0.26144303,0.222
2310007A19Rik,0.46572576,-0.13
Snx27,0.69151611,0.072
Rpl31,0.38318898,0.109
Tuft1,0.56445828,-0.176
Cgn,0.51600563,0.146
Psmb4,0.90950958,0.034
Zfp687,0.36567946,0.14
Psmd4,0.077329885,0.409
Pip5k1a,0.9646215,0.01
Affy_10500089,0.44020469,-0.142
Scnm1,0.26757288,0.433
Tnfaip8l2,0.58380817,-0.132
Gabpb2,0.80654287,0.028
Mllt11,0.30584093,-0.273
Gm128,0.82104425,0.046
Bnipl,0.58396569,-0.117
Prune,0.44330128,0.251
Anxa9,0.60774167,-0.132
Gm10691,0.1552383,-0.248
Setdb1,0.17161737,0.268
Gm5070,0.10437528,0.617
Adamtsl4,0.17347023,-0.146
Ecm1,0.79134857,-0.083
Tars2,0.52626122,-0.123
Rprd2,0.57087483,-0.076
Prpf3,0.30144125,0.178
Mrps21,0.97236185,0.015
Gm129,0.24465449,-0.829
C1orf54,0.24951011,0.268
Car14,0.71706187,0.19
Affy_10500293,0.561383,-0.126
Plekho1,0.60513664,0.13
Vps45,0.17083722,0.336
Bola1,0.95592549,0.013
Hist2h2aa1,0.21074629,0.211
Hist2h3c2-ps,0.2166107,0.47
Hist2h2aa1,0.16930797,0.245
Hist2h4,0.92041929,-0.02
Fcgr1,0.19393101,0.436
Rnu1b1,0.70853182,0.142
Terc,0.99731627,-0.001
BC107364,0.27682855,-0.266
Rnu1b1,0.95200004,0.019
Rnu1b1,0.70853182,0.142
Gm15441,0.92281708,0.104
Polr3gl,0.96157217,0.01
6330549D23Rik,0.30327174,-0.227
Rpl21,0.74400462,0.047
Nudt17,0.35844045,-0.174
Polr3c,0.84772976,0.028
Affy_10500404,0.33670301,-0.205
Cd160,0.63805803,0.072
Gpr89,0.79675631,-0.044
Gja8,0.18602799,-0.225
Bcl9,0.019798626,0.445
Olfr1402,0.082800004,-0.407
Chd1l,0.40402085,0.197
Pde4dip,0.81512803,0.032
Affy_10500524,0.50801379,-0.126
Hmgcs2,0.17746195,2.12
Phgdh,0.79400094,-0.08
Slc10a4,0.52829545,-0.637
Slc10a4,0.52829545,-0.637
Hmgb1,0.59481372,0.096
Hsd3b5,0.70694665,-0.999
Hsd3b2,0.14600942,-1.181
Hsd3b3,0.81380261,0.091
Hsd3b6,0.96819273,0.011
Hsd3b1,0.86453982,-0.036
Hao2,0.50256744,0.405
Affy_10500580,0.23821841,-0.292
Wdr3,0.5945019,0.091
Fam46c,0.65188364,-0.156
Man1a2,0.84544786,0.034
Ttf2,0.032085563,0.312
Cd101,0.71767994,0.084
Ptgfrn,0.5805944,-0.152
Cd2,0.56015132,0.124
Rangrf,0.1652548,0.45
Atp1a1,0.51573953,-0.114
BC037703,0.72906164,-0.113
Slc22a15,0.44709033,0.187
Vangl1,0.81868668,-0.044
Tshb,0.04432256,-0.294
Sycp1,0.60914904,-0.145
Nr1h5,0.77514719,0.072
Affy_10500796,0.38053965,-0.224
Affy_10500798,0.63499179,0.234
Affy_10500800,0.68547235,0.082
Atg4a,0.96743256,0.01
LOC269472,0.91796839,-0.023
Olfml3,0.77729724,0.154
Hipk1,0.73867591,0.032
Dclre1b,0.039485539,0.338
A130049A11Rik,0.059470886,0.403
Magi3,0.60901887,0.084
Gm5546,0.50380127,-0.124
Affy_10500873,0.68662982,0.094
Lrig2,0.29473931,0.235
H3f3b,0.36258308,0.204
