target,gene,p-value,parental difference (B6-DBA)
1458062_at,Smc1l1,0.25681339,-0.2004
1458063_at,4930518F22Rik,0.56223513,-0.0994
1458064_at,Rnf34,0.51434988,-0.126
1458065_at,Panx3,0.29596189,-0.1724
1458066_at,Spag16,0.97859875,0.0056
1458067_at,C130034K06,0.62523229,-0.1092
1458068_at,4932417H02Rik,0.94197558,-0.016
1458069_at,Tbc1d5,0.56296358,0.2158
1458070_at,Vtcn1,0.88822763,-0.0158
1458071_at,Wdr5,0.50818799,-0.132
1458072_at,Rslcan3,0.42491278,-0.1568
1458073_at,9330156P08Rik,0.78537783,-0.0424
1458074_at,Rslcan24,0.35595939,0.3486
1458075_at,Dst,0.52954712,-0.1232
1458076_at,6030496E16Rik,0.88431231,-0.033
1458077_at,BC053917,0.99631921,0.0012
1458078_at,Chd9,0.38245634,0.3496
1458079_at,Usp40,0.83859519,-0.0386
1458080_at,A930037J23Rik,0.5627959,0.1218
1458081_at,Cbx5,0.7613134,0.0634
1458082_at,Cd200,0.617082,-0.0804
1458083_at,D630029K19Rik,0.62665226,0.1604
1458084_at,Zdhhc17,0.21208178,-0.152
1458085_at,Ubxd5,0.84827677,-0.0284
1458086_at,4732471D19Rik,0.76178058,-0.052
1458087_at,Stac3,0.22788131,-0.1702
1458088_at,Ubap2,0.79280764,0.0346
1458089_at,Fkbp5,0.71819908,-0.0972
1458090_at,4930504E06Rik,0.96602956,-0.007
1458091_at,Dpp10,0.8707306,-0.0578
1458092_at,Ap3m1,0.51519469,0.1976
1458093_at,Mtrr,0.82195154,-0.0406
1458094_at,6130401L20Rik,0.84087042,-0.0366
1458095_at,Meg3,0.78411951,-0.0394
1458096_at,Nhs,0.5627077,-0.1506
1458097_at,Cobll1,0.6259407,0.1144
1458098_at,1700030O20Rik,0.45663747,-0.1416
1458099_at,Immp2l,0.95670631,-0.0454
1458100_at,Apobec1,0.48910527,0.1054
1458101_at,5730427C23Rik,0.84748903,-0.0384
1458102_at,Plxna2,0.91419072,-0.0214
1458103_at,Ncor1,0.14242591,0.5142
1458104_a_at,BC038167,0.44926388,-0.4774
1458105_at,Syn2,0.83192369,-0.0404
1458106_at,BC027828,0.459211,0.2102
1458107_at,5330427M13Rik,0.92932921,0.0144
1458108_at,Ptcd2,0.37320988,0.2148
1458109_at,Hapln1,0.46396141,0.1304
1458110_at,Pacs1,0.9774265,-0.0062
1458111_at,C530043G21Rik,0.2219069,0.54
1458112_at,Adarb2,0.5310523,-0.179
1458113_at,9530019H20Rik,0.44267944,-0.485
1458114_at,A830094I09Rik,0.24907804,0.7488
1458115_at,4930512H18Rik,0.78366258,-0.0572
1458116_at,4930546H06Rik,0.70134406,-0.0684
1458117_at,Garnl1,0.16525937,0.2002
1458118_at,5031408O05,0.73097562,0.0764
1458119_at,Slc25a27,0.71039535,0.0712
1458120_at,B230220E17Rik,0.69011331,-0.0668
1458121_at,A930014K01Rik,0.52351929,-0.0956
1458122_at,3632413B07Rik,0.73679132,0.052
1458123_at,Car10,0.23273188,0.4038
1458124_at,Iqgap1,0.67875084,0.0838
1458125_at,Uri1,0.41332355,-0.242
1458126_at,Rai17,0.63723605,0.1288
1458127_at,6030446J10Rik,0.54564779,-0.1168
1458128_at,Kansl1l,0.15454985,-0.7238
1458129_at,Rora,0.8463726,0.0486
1458130_at,1110001A07Rik,0.96266435,0.0076
1458131_at,Asb14,0.37993639,-0.126
1458132_at,Cnnm2,0.34697043,-0.1262
1458133_at,A830008M03Rik,0.76055391,0.0792
1458134_at,Gstz1,0.87657579,-0.0404
1458135_at,4432409B16,0.79271706,0.06
1458136_at,Msi2,0.92839586,0.0212
1458137_at,Surf2,0.86923293,0.0276
1458138_at,2210402A09Rik,0.45589359,-0.1706
1458139_at,Hnrpc,0.98357347,0.003
1458140_at,Slit2,0.41542534,0.3484
1458141_at,Pde7b,0.27769362,0.3306
1458142_at,Zdhhc9,0.54481105,-0.1458
1458143_at,633044200,0.92266441,-0.0202
1458144_at,Kiaa1370,0.31354418,0.2864
1458145_at,Rora,0.17460657,0.3014
1458146_at,D030011O10Rik,0.86261754,0.043
1458147_at,Mamdc1,0.900537,0.0836
1458148_at,Nlrc3,0.78310694,0.0526
1458149_at,Ppp1r7,0.74639746,-0.0648
1458150_at,Ambra1,0.83298494,-0.0414
1458151_at,4833444G19Rik,0.19403095,-0.187
1458152_at,Etfdh,0.60537035,-0.099
1458153_at,Pex14,0.23141301,-0.1922
1458154_at,2410004E01Rik,0.77933114,0.0416
1458155_at,Rabgap1l,0.26946316,0.3718
1458156_at,E230012J19Rik,0.25962349,0.2362
1458157_at,Nek8,0.96109385,0.0062
1458158_at,D330013L20Rik,0.64196193,-0.0718
1458159_at,Gnaq,0.88597693,-0.052
1458160_at,4933400C05,0.65838288,0.0888
1458161_at,Kcnq1,0.80943022,0.0424
1458162_at,AK049966,0.82707788,-0.0324
1458163_at,Znf85,0.56143838,-0.1514
1458164_at,1700012C15Rik,0.61214351,0.0794
1458165_at,Ipo7,0.51954863,-0.1276
1458166_at,Phf21a,0.9379845,-0.0126
1458167_at,Kcnd2,0.69355752,0.0764
1458168_at,1810045K17Rik,0.68799905,-0.0642
1458169_at,0610038F07Rik,0.8366434,0.0388
1458170_at,AV271276,0.97436045,-0.004
1458171_at,Slco2b1,0.48267605,-0.1484
1458172_at,Me2,0.22320251,0.8928
1458173_at,Npl,0.8734772,0.0232
1458174_at,D16Ertd480e,0.51354593,0.1508
1458175_at,Spon2,0.62386418,-0.0866
1458176_at,Per3,0.28327593,0.6164
1458177_at,Ebpl,0.54012176,-0.1104
1458178_at,1700012H17Rik,0.21020118,0.6586
1458179_at,AK142878,0.84725143,0.034
1458180_at,Dscr6,0.7312211,-0.0454
1458181_at,9030624J02Rik,0.57429458,0.1618
1458182_at,Rbm18,0.93800653,0.011
1458183_at,Jub,0.64595369,-0.1166
1458184_at,A130094D17Rik,0.83272254,0.04
1458185_at,Thap4,0.93181229,0.0194
1458186_at,D030063E12,0.30893979,0.3236
1458187_at,1700112N14Rik,0.72599472,0.0926
1458188_at,Dpysl2,0.71186577,0.117
1458189_at,Emid2,0.87449735,0.0224
1458190_at,Arhgap4,0.64846773,-0.0724
1458191_at,Foxp2,0.80107703,-0.0744
1458192_at,LOC433310,0.64795391,0.1052
1458193_at,Fabp9,0.83263726,-0.0288
1458194_at,Cyp11a1,0.73236781,0.07
1458195_at,Vps13d,0.3858337,0.1646
1458196_at,Gnpnat1,0.71469533,-0.047
1458197_x_at,Adam1a,0.88009084,-0.023
1458198_at,Map3k12,0.60276563,0.0788
1458199_at,Ascc2,0.50430175,-0.081
1458200_at,Nacc1,0.91888017,-0.0246
1458201_at,Tcf4,0.93044971,0.0168
1458202_at,6330500D04Rik,0.97778372,0.0062
1458203_at,Spire1,0.21317623,0.8808
1458204_at,Sparc,0.73867128,-0.0536
1458205_at,Man1a,0.59555672,0.1582
1458206_at,AA536717,0.9895217,-0.0026
1458207_at,Zbed3,0.88173627,-0.0268
1458208_s_at,Mccc1,0.66119839,-0.0948
1458209_at,2410012C07Rik,0.78752716,0.0344
1458210_at,9130404H23Rik,0.61685022,-0.1016
1458211_at,Nek1,0.91423147,-0.0156
1458212_at,Pde4d,0.78038857,0.0616
1458213_at,Nfat5,0.5197399,0.0962
1458214_at,Zfp786,0.60146007,-0.0978
1458215_at,Setdb1,0.64158675,-0.0954
1458216_at,E030018N11Rik,0.85607377,-0.0348
1458217_s_at,AU019521,0.36173843,-0.2978
1458218_s_at,Pde7a,0.49448234,0.0996
1458219_at,Bcas2,0.81275127,0.0492
1458220_at,Dlc1,0.23633466,-0.4302
1458221_at,Mamld1,0.90848629,-0.0304
1458222_at,N4bp2l2,0.53225399,-0.1816
1458223_at,Mdm4,0.8709798,-0.0276
1458224_at,Lrrc2,0.68701055,0.0644
1458225_at,Fkbp14,0.88524304,-0.0214
1458226_at,Flnb,0.87575747,0.0252
1458227_at,Kirrel3,0.15815632,0.3004
1458228_at,Opcml,0.92886874,0.0154
1458229_at,Robo2,0.7252699,0.1098
1458230_at,Gria4,0.70388857,-0.0776
1458231_at,4933432P15Rik,0.99416851,-0.0012
1458232_at,Dkk1,0.56084879,-0.0684
1458233_at,9030227G01Rik,0.43418523,0.2776
1458234_at,A730052K04Rik,0.64557192,-0.083
1458235_at,Fbxl17,0.51377073,-0.139
1458236_at,AK084265,0.99201502,0.0022
1458237_at,BG071126,0.68873581,-0.0706
1458238_at,Arid5b,0.95745001,-0.009
1458239_at,E2f1,0.22189866,-0.1906
1458240_at,Baiap1,0.73444298,-0.0674
1458241_at,Hmga2,0.71539901,0.062
1458242_at,Gphn,0.69591256,-0.1188
1458243_at,C330014B19Rik,0.55092345,0.115
1458244_at,1700095F04Rik,0.5643081,-0.1072
1458245_at,4930547K05Rik,0.65437299,-0.0902
1458246_at,E330017L17Rik,0.34063254,0.261
1458247_s_at,Dctn5,0.60560557,-0.0716
1458248_at,4921514E24Rik,0.90113184,-0.0226
1458249_at,AW413431,0.90598698,0.0506
1458250_at,1200015N20Rik,0.87619379,-0.025
1458251_at,AU022166,0.78761944,0.054
1458252_at,Sp110,0.86593751,-0.0302
1458253_at,9830123M21,0.96049202,0.0098
1458254_at,D330027H18Rik,0.77704935,-0.0406
1458255_at,3426406O18Rik,0.73219051,-0.0646
1458256_at,5830446M03Rik,0.53356455,-0.0852
1458257_at,Bre,0.77820894,-0.083
1458258_at,Pacs1,0.7862811,-0.0462
1458259_x_at,Cops3,0.601177,0.0784
1458260_at,E130108L08Rik,0.8885705,0.0262
1458261_at,Cbll1,0.87373825,0.0262
1458262_at,4932702D22Rik,0.61446659,-0.0744
1458263_at,Cugbp2,0.83158352,-0.0468
1458264_at,E430025L02Rik,0.50448651,0.1258
1458265_at,E030018N11Rik,0.94705256,0.0106
1458266_at,AK043560,0.55157693,0.1462
1458267_at,Zfp248,0.76322317,-0.0564
1458268_s_at,Igfbp3,0.90903758,-0.0236
1458269_at,Pcdh9,0.86124086,0.0854
1458270_at,Kcnb1,0.75870843,-0.055
1458271_at,Cntn5,0.67244157,0.0946
1458272_at,4833412C05Rik,0.73671625,-0.0468
1458273_at,Hnrpd,0.77590543,0.0676
1458274_at,Zfp69,0.3339059,-0.2502
1458275_at,Sel1l3,0.90897077,-0.0154
1458276_x_at,Cit,0.47467083,-0.1204
1458277_at,Ccl25,0.57090581,0.1024
1458278_at,5031414D18,0.66307425,-0.078
1458279_at,Foxo3,0.85358837,-0.046
1458280_at,Ascc2,0.50435435,-0.0992
1458281_at,Arsb,0.27923546,-0.198
1458282_at,Cdc27,0.92134061,-0.065
1458283_at,KIAA0355,0.56766407,0.126
1458284_at,Ptbp1,0.80187193,-0.0588
1458285_at,Gria1,0.81554127,-0.0422
1458286_at,0610007P14Rik,0.58998913,0.0668
1458287_at,Zfp536,0.77963276,0.0502
1458288_at,BF020595,0.79672584,-0.0476
1458289_at,Galntl4,0.85700213,-0.03
1458290_at,R3hdm,0.2583765,0.3524
1458291_at,2900026I01Rik,0.68366535,0.0876
1458292_at,Psma1,0.42176333,-0.1776
1458293_at,5730403B10Rik,0.14523561,-0.23
1458294_at,LOC276845,0.74253151,-0.0672
1458295_at,2310042N02Rik,0.73562563,-0.0784
1458296_at,Ext1,0.24370183,0.4606
1458297_s_at,Marco,0.65682353,0.0948
1458298_at,Cadps,0.76308602,0.0812
1458299_s_at,Nfkbie,0.96971814,-0.0088
1458300_at,Akr7a5,0.60285723,0.1452
1458301_x_at,D630028G08Rik,0.97748407,-0.0052
1458302_at,BE200453,0.25439952,-0.3814
1458303_at,Rnf165,0.9735796,-0.006
1458304_at,6030414C01,0.64045621,-0.0938
1458305_at,Tmtc3,0.28758157,-0.2798
1458306_at,F630022B06Rik,0.278015,-0.7108
1458307_at,B230334C09Rik,0.098198077,1.2712
1458308_at,BC019206,0.55730817,-0.1278
1458309_at,LOC238771,0.68070377,0.0654
1458310_at,A230056J06Rik,0.74435649,0.0414
1458311_at,2700002L06Rik,0.41470315,0.1032
1458312_at,Cacna1a,0.50795254,-0.1168
1458313_at,Cdc2l5,0.66242295,-0.059
1458314_at,AW491006,0.53987253,0.3204
1458315_at,BB241703,0.40086095,-0.1122
1458316_at,Ubxd2,0.58630486,0.0936
1458317_at,Eml1,0.31141663,0.1398
1458318_at,Oxr1,0.23079033,0.8458
1458319_at,Wls,0.77574495,-0.0574
1458320_at,9630036J22,0.70902251,-0.1332
1458321_at,Pik3cd,0.73833584,-0.0846
1458322_x_at,3110062M04Rik,0.6099989,-0.1008
1458323_at,4930444A19Rik,0.79240159,-0.043
1458324_x_at,8430428J23Rik,0.80517217,0.0904
1458325_x_at,Bmf,0.79405418,-0.0494
1458326_at,Polr2e,0.73361787,-0.0784
1458327_x_at,Slc26a1,0.41217961,0.1368
1458328_x_at,3110007P09Rik,0.59490416,0.147
1458329_x_at,1110051B16Rik,0.79000098,-0.0396
1458330_x_at,Cnnm3,0.22361764,-0.1452
1458331_x_at,Ces7,0.83223345,-0.0304
1458332_x_at,Sox4,0.45719757,0.1424
1458333_x_at,Utf1,0.78480927,0.046
1458334_at,Wnt7a,0.63411807,-0.1034
1458335_x_at,2900073H19Rik,0.2599614,-0.1726
1458336_at,MGC36238,0.77748233,-0.0528
1458337_at,C330017I15Rik,0.89810888,0.029
1458338_x_at,Nr2c1,0.89536946,-0.0322
1458339_at,Cdadc1,0.83416823,-0.0728
1458340_at,2810403P18Rik,0.60074154,-0.1252
1458341_x_at,Clca3,0.92386734,-0.0376
1458342_at,Tmem90a,0.93498674,-0.0312
1458343_x_at,Med6,0.56410106,-0.123
1458344_at,Nagpa,0.71683465,0.0748
1458345_s_at,Colec11,0.41742152,0.334
1458346_x_at,Atp2b1,0.43734586,0.1202
1458347_s_at,Tmprss2,0.82241107,0.0624
1458348_at,9330178D15,0.45849833,-0.1736
1458349_s_at,Vsig10l,0.57763047,0.145
1458350_at,Opa3,0.66045177,-0.0946
1458351_s_at,Klhl2,0.99845968,-0.0004
1458352_at,D530030D03Rik,0.86526767,-0.034
1458353_at,Nwd1,0.39172348,-0.1986
1458354_x_at,Krt28,0.91254575,0.0268
1458355_x_at,Monad,0.75575332,-0.0698
1458356_at,6530418L21Rik,0.82517339,0.04
1458357_x_at,Stk4,0.67090232,0.089
1458358_at,Pank2,0.57949067,0.1598
1458359_at,AW125395,0.71149593,-0.0838
1458360_at,Spock2,0.83999711,0.037
1458361_at,Dclre1c,0.94209178,-0.016
1458362_at,D730005E14Rik,0.97838397,-0.0036
1458363_at,Zdhhc17,0.94109238,0.0136
1458364_s_at,Ifrg15,0.88492228,-0.0332
1458365_at,AI467484,0.37644092,0.3392
1458366_at,4930556B16Rik,0.81974647,-0.0434
1458367_at,3222401G21Rik,0.76752785,-0.0666
1458368_at,Myh8,0.83386338,-0.0274
1458369_at,Atcay,0.78595274,-0.0432
1458370_at,Bmp2k,0.23474341,-0.5052
1458371_at,E130006N16Rik,0.48997856,0.1028
1458372_at,Ever2,0.56488045,-0.0876
1458373_at,5830483C08Rik,0.85895146,-0.039
1458374_at,C79407,0.67438405,0.0856
1458375_at,Klh132,0.19409152,-0.2822
1458376_at,Mbnl2,0.21430003,1.2594
1458377_at,Crsp7,0.41275486,-0.1328
1458378_at,Grin3a,0.84504263,-0.041
1458379_at,9330159F19Rik,0.12258745,0.563
1458380_at,Asxl1,0.48433105,0.1502
1458381_at,Clic5,0.56812826,0.1006
1458382_a_at,C79035,0.95553559,0.0108
1458383_at,Idh2,0.58701763,-0.1048
1458384_at,1810056O20Rik,0.64689976,-0.0812
1458385_at,Hspa4l,0.17316504,0.2916
1458386_at,Slc24a4,0.95978191,-0.0108
1458387_at,Ptdss2,0.99868805,0.0002
1458388_at,4932443G14,0.7594561,-0.0738
1458389_at,Klf7,0.24990103,-1.1498
1458390_at,Anapc10,0.88620364,-0.0232
1458391_at,Ddx11,0.62048182,0.0738
1458392_at,B230208H11Rik,0.63374007,-0.084
1458393_at,Srr,0.3949659,0.1956
1458394_at,Slc6a17,0.90936692,0.0198
1458395_at,B930054O08,0.78462109,-0.0358
1458396_at,P2rx3,0.27737349,-0.1442
1458397_at,Pnma3,0.59698635,-0.1832
1458398_at,1700027F06Rik,0.39244132,-0.1174
1458399_at,Lrrc3,0.73908284,-0.0562
1458400_at,9630050P21Rik,0.930054,0.0174
1458401_at,4932438A13Rik,0.79761431,0.1422
1458402_at,Pts,0.74654022,-0.0622
1458403_at,Tnik,0.61450924,0.1008
1458404_at,Ndufb8,0.51713008,-0.1258
1458405_at,B430201F14,0.43530116,-0.3296
1458406_at,Trerf1,0.97290382,-0.0072
1458407_s_at,Trerf1,0.76443252,-0.0538
1458408_at,Samd8,0.19084904,-0.8798
1458409_at,Slc7a8,0.77042805,-0.0452
1458410_at,Garnl1,0.13154624,0.321
1458411_at,2410012C07Rik,0.52540391,0.1364
1458412_at,Zfp78,0.92997782,0.0202
1458413_at,Fbxw8,0.82554922,-0.056
1458414_at,D2Ertd93e,0.65270796,0.0838
1458415_at,Clec2e,0.79115002,-0.0514
1458416_at,A330048O09Rik,0.9981584,-0.0004
1458417_at,Jmjd1b,0.95434739,-0.008
1458418_at,9330168M11Rik,0.91282352,-0.0184
1458419_at,E130215H24Rik,0.39095687,-0.1062
1458420_at,9430057O19Rik,0.67335871,-0.0694
1458421_at,Kcnq3,0.2322151,0.2932
1458422_at,D730002M21Rik,0.79060945,0.065
1458423_at,Luc7l2,0.98499253,0.0034
1458424_at,Fa2h,0.89514325,-0.024
1458425_at,A930010E21Rik,0.6028381,-0.0804
1458426_at,Kif1b,0.25585195,1.7694
1458427_at,Brip1,0.88205454,0.024
1458428_at,Kcnt1,0.73139618,0.0916
1458429_at,Arhgap30,0.40644832,-0.133
1458430_at,C87436,0.83532343,0.0354
1458431_at,Eif4g2,0.77985061,0.0466
1458432_at,Nck2,0.7038078,0.1258
1458433_at,Rasd2,0.21624671,0.6184
1458434_at,A730009L09Rik,0.96156095,0.0072
1458435_at,Jpx,0.99745913,-0.0006
1458436_at,Auh,0.66813311,-0.0858
1458437_at,Cugbp2,0.65199433,0.079
1458438_at,4933415L06Rik,0.74983416,-0.0854
1458439_a_at,Dzip3,0.14735112,0.5254
1458440_at,B230396K10Rik,0.63092971,0.0922
1458441_at,Slc6a17,0.34734883,-0.1342
1458442_at,Cyp2b9,0.89225364,-0.017
1458443_at,Crtc1,0.53962362,-0.1924
1458444_at,AV145217,0.83692057,-0.032
1458445_at,6530409C15Rik,0.61052034,0.0722
1458446_at,Pcdhga1,0.25368393,-0.206
1458447_at,Cenpf,0.81552035,-0.0342
1458448_at,AA408296,0.10069535,-0.2534
1458449_at,Fbxl11,0.85985598,-0.028
1458450_at,Zfr,0.81295244,-0.086
1458451_at,BE985383,0.35545378,-0.1154
1458452_at,3010027A04Rik,0.87943474,-0.03
1458453_at,Lmo7,0.94253761,0.0128
1458454_at,AI452122,0.80810926,-0.0542
1458455_at,C130068O12Rik,0.96545431,-0.0094
1458456_x_at,C3orf18,0.31403252,-0.2554
1458457_at,Dnahc5,0.65899207,-0.0818
1458458_at,Slfn5,0.73404095,-0.0698
1458459_a_at,AI452102,0.89677018,0.0354
1458460_at,Stim1,0.32068077,0.553
1458461_at,E330021D16Rik,0.52905798,-0.105
1458462_at,Arhgap30,0.26790486,0.1962
1458463_at,LOC231291,0.22365328,0.4876
1458464_at,Hecw2,0.13137019,0.5784
1458465_at,2700050F09Rik,0.92182055,-0.0172
1458466_at,Ppgb,0.70800642,0.0678
1458467_at,Krtap16-3,0.69925544,0.0638
1458468_at,BE650854,0.57017134,-0.098
1458469_at,Cblb,0.67412911,-0.1034
1458470_at,A830082K12Rik,0.42389426,0.273
1458471_at,Wac,0.86517505,0.037
1458472_at,4932417H02Rik,0.75882464,0.0526
1458473_at,Pou6f2,0.9392621,-0.0154
1458474_at,Fam108a,0.8340959,0.0266
1458475_at,2900057K09Rik,0.82329843,-0.0476
1458476_at,Eif2c3,0.51660057,-0.0968
1458477_at,Loxl2,0.77140747,0.0412
1458478_at,9230110F11Rik,0.8727261,-0.0342
1458479_at,Smc2l1,0.46848337,0.1924
1458480_at,Topbp1,0.91808454,0.016
1458481_at,Il2rg,0.5228597,-0.0854
1458482_at,Tnni3k,0.93685295,0.0112
1458483_at,A330102I10Rik,0.84939867,0.03
1458484_at,A730020M07Rik,0.39186488,-0.115
1458485_at,D230018M15Rik,0.49316169,-0.1154
1458486_at,Ints2,0.65809039,-0.089
1458487_at,Klf3,0.50243461,0.15
1458488_at,Dcamkl2,0.71192132,-0.06
1458489_at,Prkag1,0.59166153,0.1202
1458490_at,9230116N13Rik,0.85533825,0.033
1458491_at,Zfp949,0.14066375,-1.0704
1458492_x_at,Hnt,0.46568116,0.1914
1458493_a_at,2410089E03Rik,0.69662754,-0.0612
1458494_at,Etv6,0.82029984,-0.0302
1458495_at,A530094D01,0.73982454,-0.0588
1458496_at,Cyb561,0.77602028,-0.0802
1458497_at,1700030E05Rik,0.71468276,0.0942
1458498_at,2810468K17Rik,0.48015352,-0.1226
1458499_at,Pde10a,0.49790732,0.1894
1458500_at,AU021034,0.59626804,-0.1722
1458501_at,Vapb,0.23606094,0.314
1458502_at,Ktn1,0.71840211,0.074
1458503_at,Bcl7a,0.79653805,-0.0494
1458504_at,D730019B10Rik,0.71824346,-0.0606
1458505_at,Pde3a,0.53768434,0.1642
1458506_at,Frmpd2,0.68673908,-0.1252
1458507_at,Ubc,0.40015244,-0.1762
1458508_at,BB444511,0.91809915,0.0364
1458509_at,4932412H11,0.95236175,-0.022
1458510_at,AU019823,0.23968537,0.2952
1458511_at,2410025L10Rik,0.85698254,-0.0276
1458512_at,Tle3,0.81129387,-0.0418
1458513_at,Mapk10,0.38160737,0.2324
1458514_at,Ebf3,0.82501058,0.0502
1458515_at,Zfp128,0.35199324,0.283
1458516_at,4930568P13Rik,0.73011254,0.0452
1458517_at,1700082M22Rik,0.3903083,-0.114
1458518_at,Cpeb2,0.48681481,0.2072
1458519_at,0610033G21Rik,0.40650316,-0.1348
1458520_at,Hipk2,0.90920186,0.0196
1458521_at,2610203E10Rik,0.88216948,0.0344
1458522_at,1810011K17Rik,0.5000644,-0.3194
1458523_at,Zfml,0.9438627,0.0098
1458524_at,Fndc3a,0.68062128,-0.0994
1458525_at,App,0.44780878,-0.244
1458526_at,Supt16h,0.58874507,-0.1378
1458527_at,B930052A04Rik,0.10929909,-0.3358
1458528_at,Kiaa0513,0.33776837,-0.551
1458529_at,LOC215714,0.99055729,0.0028
1458530_at,Zfp532,0.74979469,-0.0492
1458531_at,Foxp2,0.83809162,0.0766
1458532_at,Mtr,0.72093855,-0.0496
1458533_at,9330169L03Rik,0.98339,0.0036
1458534_at,Rgs7bp,0.20203749,0.329
1458535_at,Gabbr1,0.39317326,0.3796
1458536_at,Ccni,0.90135715,0.0388
1458537_at,D030040B21,0.73758298,-0.0606
1458538_at,Sirt1,0.59660264,-0.0708
1458539_at,R3hdm1,0.12422601,0.5452
1458540_at,Lincr,0.51033597,-0.0956
1458541_at,Dctn4,0.15612747,-0.3686
1458542_at,Crsp6,0.53162766,0.1176
1458543_at,Uty,0.93650349,0.0156
1458544_at,BC059841,0.32257328,0.1694
1458545_at,1110007C24Rik,0.8283327,-0.041
1458546_at,C18orf1,0.64553811,0.0798
1458547_at,Kif21b,0.8117617,-0.0394
1458548_at,A530045B06Rik,0.91646732,0.015
1458549_at,Cyp2c54,0.72651847,-0.0538
1458550_at,Myo1d,0.77717693,0.0474
1458551_at,Mef2c,0.46257631,0.2242
1458552_at,D430050E20Rik,0.39445379,-0.1352
1458553_at,Plat,0.51080679,-0.1114
1458554_at,9330169B04Rik,0.57628909,0.1238
1458555_at,Fam155a,0.86696655,0.0322
1458556_at,Dnahc5,0.29915087,0.3008
1458557_at,Bcas3,0.70253266,-0.063
1458558_at,3110020O18Rik,0.92034703,-0.0232
1458559_at,Cklf,0.80949881,0.049
1458560_at,Aspm,0.87237478,-0.0274
1458561_at,Neurl,0.70031082,0.0582
1458562_at,Nfe2l1,0.93955289,0.0154
1458563_at,Zfp668,0.3173113,-0.184
1458564_at,2810029C07Rik,0.86340538,-0.0276
1458565_at,Arl2,0.51201896,-0.1424
1458566_at,Gpatc2,0.43762431,-0.1554
1458567_at,D130017N08Rik,0.54859231,-0.1202
1458568_at,Tusc3,0.40933315,0.181
1458569_at,Ell2,0.94179106,0.0144
1458570_at,Aspscr1,0.69385702,-0.0594
1458571_at,Ezh2,0.97675672,-0.0048
1458572_at,Chmp5,0.9001293,-0.021
1458573_at,9530026P05Rik,0.69676594,0.0958
1458574_at,E2f2,0.61088842,-0.0716
1458575_at,Setbp1,0.53584058,0.147
1458576_at,4931433E08Rik,0.92421527,-0.0128
1458577_at,Map3k5,0.69543991,-0.0568
1458578_at,Rbms1,0.8760697,0.046
1458579_at,BE982174,0.70000392,-0.0734
1458580_at,2610205H19Rik,0.46988259,-0.1184
1458581_at,Ust,0.43680813,-0.1886
1458582_at,AI461788,0.84359165,0.0494
1458583_at,1700123O12Rik,0.66764054,-0.08
1458584_at,4832406H04Rik,0.2994828,-0.7368
1458585_at,5033411B22Rik,0.49779219,0.3178
1458586_at,Nup98,0.30530871,-1.1006
1458587_at,2310047D07Rik,0.62622397,-0.0842
1458588_at,BB091802,0.58634014,0.1052
1458589_at,Igtp,0.61128155,0.1022
1458590_at,5930412E23Rik,0.50139981,0.0994
1458591_at,BC030882,0.91343605,0.0134
1458592_at,2810432F15Rik,0.96985596,-0.0074
1458593_at,Fbn1,0.91398295,0.0204
1458594_at,Shprh,0.56514666,0.1672
1458595_at,Pdzk6,0.64807155,-0.1312
1458596_at,Dctn4,0.88598375,-0.0202
1458597_at,BE986250,0.96748584,0.0074
1458598_at,Peg13,0.62818824,-0.0786
1458599_at,Prrg4,0.90133319,0.03
1458600_at,Wnt9a,0.14608475,-0.2456
1458601_at,8030447M02Rik,0.92013216,0.0238
1458602_at,Bbx,0.40668065,0.219
1458603_at,9530014B07Rik,0.72304914,-0.0698
1458604_at,Hps1,0.8221367,-0.0524
1458605_at,Arfrp2,0.72466986,0.1268
1458606_at,4921526K24Rik,0.79613256,0.045
1458607_at,Tgfbr2,0.47414429,0.1544
1458608_at,Tpst2,0.32959976,0.217
1458609_at,Rab18,0.74416451,-0.0616
1458610_at,Tubb4b,0.73720807,-0.062
1458611_at,9630061B06Rik,0.87438747,0.0304
1458612_at,A930006A01Rik,0.95380917,-0.0142
1458613_at,Arrdc1,0.58539792,-0.0922
1458614_at,B930050E02Rik,0.31847711,-0.2442
1458615_at,Depdc5,0.80276861,0.0534
1458616_at,B4galt1,0.79389086,-0.0322
1458617_at,Prkcbp1,0.21766459,0.5278
1458618_at,Ces1,0.8713437,-0.0592
1458619_at,9130404H23Rik,0.72545698,-0.0706
1458620_at,Dnajb6,0.99919612,-0.0002
1458621_at,Mier1,0.91710087,-0.018
1458622_at,Ntrk2,0.26814751,0.2036
1458623_at,Ttbk1,0.23275145,0.2438
1458624_at,Rbm24,0.66077115,0.1322
1458625_at,Dscam,0.39060488,-0.2154
1458626_at,Nos1,0.8491084,0.031
1458627_at,Sip1,0.90983179,-0.0226
1458628_at,Limk2,0.52716415,-0.1536
1458629_at,2300007F24Rik,0.95251532,-0.0136
1458630_at,Vav3,0.84079635,0.052
1458631_at,4921533L14Rik,0.9765242,0.005
1458632_at,Dpysl2,0.16485858,0.4822
1458633_at,Snx8,0.79662548,0.0428
1458634_at,Cd47,0.87057621,-0.0248
1458635_at,4832428D23Rik,0.56020076,-0.1412
1458636_at,2610206B13Rik,0.99040074,-0.0036
1458637_x_at,Ube3c,0.8761789,0.056
1458638_at,Mtdh,0.52266809,-0.1198
